"common_name","stratum","pop_est"
"Canvasback",14,15733
"Goldeneye spp",14,10965
"Mallard",14,86789
"Merganser spp",14,17358
"Northern Pintail",14,220448
"Northern Shoveler",14,9086
"Redhead",14,4723
"Ring-necked Duck",14,97680
"Scaup spp",14,608602
"Swan spp",14,16922
"American Green-winged Teal",15,37749
"American Wigeon",15,119604
"Bufflehead",15,17026
"Blue-winged Teal",15,9928
"Canada Goose",15,53350
"Goldeneye spp",15,3476
"Mallard",15,34302
"Merganser spp",15,4892
"Northern Pintail",15,40985
"Redhead",15,2995
"Ring-necked Duck",15,110330
"Scaup spp",15,205089
"Swan spp",15,963
"American Green-winged Teal",16,10030
"American Wigeon",16,158895
"Bufflehead",16,56547
"Canada Goose",16,24807
"Canvasback",16,13254
"Goldeneye spp",16,32329
"Mallard",16,70108
"Merganser spp",16,48743
"Northern Pintail",16,57852
"Redhead",16,9947
"Ring-necked Duck",16,46287
"Scaup spp",16,244630
"Swan spp",16,1279
"American Green-winged Teal",17,367085
"American Coot",17,1092
"American Wigeon",17,333948
"Bufflehead",17,106550
"Blue-winged Teal",17,76473
"Canada Goose",17,46229
"Canvasback",17,10806
"Gadwall",17,35232
"Goldeneye spp",17,108780
"Mallard",17,203871
"Merganser spp",17,24433
"Northern Pintail",17,158458
"Northern Shoveler",17,76042
"Redhead",17,28114
"Ring-necked Duck",17,193816
"Ruddy Duck",17,1377
"Scaup spp",17,325383
"Swan spp",17,3013
"American Green-winged Teal",18,123747
"American Wigeon",18,38118
"Bufflehead",18,68796
"Blue-winged Teal",18,18081
"Canada Goose",18,8501
"Canvasback",18,4542
"Gadwall",18,2666
"Goldeneye spp",18,22159
"Mallard",18,96107
"Merganser spp",18,4455
"Northern Pintail",18,37320
"Northern Shoveler",18,6121
"Redhead",18,16363
"Ring-necked Duck",18,158629
"Scaup spp",18,86347
"American Green-winged Teal",20,29172
"American Coot",20,1658
"American Wigeon",20,32475
"Bufflehead",20,9779
"Blue-winged Teal",20,57545
"Canada Goose",20,5571
"Canvasback",20,11200
"Gadwall",20,26139
"Goldeneye spp",20,16155
"Mallard",20,32791
"Merganser spp",20,3001
"Northern Pintail",20,65004
"Northern Shoveler",20,30184
"Redhead",20,23613
"Ring-necked Duck",20,9703
"Ruddy Duck",20,299
"Scaup spp",20,21648
"Swan spp",20,12068
"American Green-winged Teal",21,14277
"American Wigeon",21,29670
"Bufflehead",21,40193
"Blue-winged Teal",21,10094
"Canada Goose",21,23989
"Canvasback",21,5888
"Goldeneye spp",21,5629
"Mallard",21,101443
"Merganser spp",21,49030
"Northern Pintail",21,2880
"Northern Shoveler",21,3778
"Ring-necked Duck",21,21209
"Scaup spp",21,109100
"Swan spp",21,541
"American Green-winged Teal",22,20833
"American Coot",22,9838
"American Wigeon",22,42795
"Bufflehead",22,39100
"Blue-winged Teal",22,14729
"Canada Goose",22,36075
"Canvasback",22,6364
"Goldeneye spp",22,7667
"Mallard",22,105707
"Merganser spp",22,34883
"Northern Shoveler",22,4288
"Redhead",22,764
"Ring-necked Duck",22,65226
"Ruddy Duck",22,32842
"Scaup spp",22,36247
"Swan spp",22,3809
"American Green-winged Teal",23,42064
"American Wigeon",23,26840
"Bufflehead",23,64406
"Blue-winged Teal",23,3131
"Canada Goose",23,39061
"Goldeneye spp",23,14665
"Mallard",23,166143
"Merganser spp",23,74274
"Northern Shoveler",23,1640
"Ring-necked Duck",23,72782
"Scaup spp",23,84693
"Swan spp",23,470
"American Green-winged Teal",24,51926
"American Wigeon",24,104194
"Bufflehead",24,57970
"Blue-winged Teal",24,2532
"Canada Goose",24,231142
"Canvasback",24,2954
"Goldeneye spp",24,70177
"Mallard",24,180202
"Merganser spp",24,108898
"Northern Pintail",24,1011
"Northern Shoveler",24,1327
"Ring-necked Duck",24,76883
"Scaup spp",24,149790
"Swan spp",24,20338
"American Green-winged Teal",25,7004
"American Coot",25,1910
"American Wigeon",25,19299
"Bufflehead",25,6573
"Blue-winged Teal",25,14406
"Canada Goose",25,25278
"Canvasback",25,16107
"Gadwall",25,1233
"Goldeneye spp",25,6327
"Mallard",25,49638
"Merganser spp",25,20677
"Northern Pintail",25,360
"Northern Shoveler",25,6134
"Redhead",25,3364
"Ring-necked Duck",25,46139
"Ruddy Duck",25,402
"Scaup spp",25,13117
"Swan spp",25,3312
"American Green-winged Teal",26,107488
"American Coot",26,24512
"American Wigeon",26,95144
"Bufflehead",26,103553
"Blue-winged Teal",26,309225
"Canada Goose",26,209030
"Canvasback",26,35865
"Gadwall",26,213571
"Goldeneye spp",26,19613
"Mallard",26,422317
"Merganser spp",26,4338
"Northern Pintail",26,69687
"Northern Shoveler",26,166551
"Redhead",26,64419
"Ring-necked Duck",26,16158
"Ruddy Duck",26,23121
"Scaup spp",26,155086
"Swan spp",26,105
"American Green-winged Teal",27,26835
"American Coot",27,13723
"American Wigeon",27,14310
"Bufflehead",27,2619
"Blue-winged Teal",27,100554
"Canada Goose",27,37637
"Canvasback",27,3346
"Gadwall",27,94045
"Goldeneye spp",27,445
"Mallard",27,95277
"Merganser spp",27,455
"Northern Pintail",27,22263
"Northern Shoveler",27,102526
"Redhead",27,3840
"Ring-necked Duck",27,2908
"Ruddy Duck",27,6630
"Scaup spp",27,26113
"American Green-winged Teal",28,15129
"American Coot",28,41065
"American Wigeon",28,27565
"Blue-winged Teal",28,83479
"Canada Goose",28,19323
"Canvasback",28,8355
"Gadwall",28,72737
"Goldeneye spp",28,1506
"Mallard",28,91914
"Merganser spp",28,4621
"Northern Pintail",28,16257
"Northern Shoveler",28,72838
"Redhead",28,12425
"Ring-necked Duck",28,6557
"Ruddy Duck",28,11213
"Scaup spp",28,44448
"American Green-winged Teal",29,16547
"American Coot",29,27208
"American Wigeon",29,18334
"Blue-winged Teal",29,79947
"Canada Goose",29,29114
"Canvasback",29,1297
"Gadwall",29,47869
"Goldeneye spp",29,1610
"Mallard",29,86806
"Merganser spp",29,1236
"Northern Pintail",29,16491
"Northern Shoveler",29,54669
"Redhead",29,3624
"Ring-necked Duck",29,438
"Ruddy Duck",29,12848
"Scaup spp",29,23917
"Swan spp",29,238
"American Green-winged Teal",30,122069
"American Coot",30,137399
"American Wigeon",30,47168
"Bufflehead",30,137873
"Blue-winged Teal",30,159348
"Canada Goose",30,108758
"Canvasback",30,60568
"Gadwall",30,156500
"Goldeneye spp",30,53764
"Mallard",30,277014
"Northern Pintail",30,49299
"Northern Shoveler",30,237745
"Redhead",30,78119
"Ring-necked Duck",30,20542
"Ruddy Duck",30,69521
"Scaup spp",30,74498
"American Green-winged Teal",31,106351
"American Coot",31,145191
"American Wigeon",31,28450
"Bufflehead",31,90881
"Blue-winged Teal",31,161275
"Canada Goose",31,110903
"Canvasback",31,54314
"Gadwall",31,106725
"Goldeneye spp",31,49380
"Mallard",31,236484
"Merganser spp",31,11242
"Northern Pintail",31,36119
"Northern Shoveler",31,142275
"Redhead",31,93601
"Ring-necked Duck",31,17897
"Ruddy Duck",31,63365
"Scaup spp",31,48351
"Swan spp",31,867
"American Green-winged Teal",32,83313
"American Coot",32,132595
"American Wigeon",32,67604
"Bufflehead",32,5192
"Blue-winged Teal",32,343965
"Canada Goose",32,72342
"Canvasback",32,51801
"Gadwall",32,355054
"Goldeneye spp",32,667
"Mallard",32,359180
"Merganser spp",32,678
"Northern Pintail",32,122751
"Northern Shoveler",32,424303
"Redhead",32,41501
"Ring-necked Duck",32,14643
"Ruddy Duck",32,60735
"Scaup spp",32,39249
"American Green-winged Teal",33,15832
"American Coot",33,25417
"American Wigeon",33,18352
"Bufflehead",33,1518
"Blue-winged Teal",33,70056
"Canada Goose",33,16833
"Canvasback",33,3893
"Gadwall",33,69590
"Mallard",33,121974
"Northern Pintail",33,24102
"Northern Shoveler",33,60943
"Redhead",33,7120
"Scaup spp",33,20793
"American Green-winged Teal",34,18285
"American Coot",34,180562
"American Wigeon",34,5293
"Bufflehead",34,36075
"Blue-winged Teal",34,215447
"Canada Goose",34,86055
"Canvasback",34,45877
"Gadwall",34,120692
"Mallard",34,193412
"Northern Pintail",34,34095
"Northern Shoveler",34,103264
"Redhead",34,58893
"Ring-necked Duck",34,9742
"Ruddy Duck",34,112482
"Scaup spp",34,36689
"American Green-winged Teal",35,8417
"American Coot",35,46669
"American Wigeon",35,1461
"Bufflehead",35,10247
"Blue-winged Teal",35,158819
"Canada Goose",35,58535
"Canvasback",35,29392
"Gadwall",35,62834
"Goldeneye spp",35,3195
"Mallard",35,125663
"Northern Pintail",35,35441
"Northern Shoveler",35,47693
"Redhead",35,26822
"Ring-necked Duck",35,2883
"Ruddy Duck",35,17748
"Scaup spp",35,5542
"American Green-winged Teal",36,3220
"American Coot",36,4260
"Bufflehead",36,4246
"Blue-winged Teal",36,3251
"Canada Goose",36,3968
"Canvasback",36,5605
"Goldeneye spp",36,1426
"Mallard",36,11131
"Merganser spp",36,4879
"Redhead",36,816
"Ring-necked Duck",36,7933
"Ruddy Duck",36,517
"Scaup spp",36,696
"Swan spp",36,376
"American Green-winged Teal",37,14238
"American Coot",37,11363
"Bufflehead",37,20634
"Blue-winged Teal",37,16431
"Canada Goose",37,52326
"Canvasback",37,6359
"Gadwall",37,7049
"Goldeneye spp",37,2702
"Mallard",37,78951
"Merganser spp",37,6781
"Northern Pintail",37,495
"Northern Shoveler",37,11127
"Redhead",37,32481
"Ring-necked Duck",37,7586
"Ruddy Duck",37,2610
"Scaup spp",37,19042
"Swan spp",37,238
"American Wigeon",38,212
"Bufflehead",38,1557
"Blue-winged Teal",38,20145
"Canada Goose",38,4137
"Canvasback",38,818
"Gadwall",38,1023
"Mallard",38,49137
"Northern Pintail",38,467
"Northern Shoveler",38,3935
"Redhead",38,2553
"Scaup spp",38,553
"American Green-winged Teal",39,7693
"American Coot",39,21022
"American Wigeon",39,700
"Bufflehead",39,6427
"Blue-winged Teal",39,117526
"Canada Goose",39,32066
"Canvasback",39,14470
"Gadwall",39,28231
"Goldeneye spp",39,1603
"Mallard",39,91595
"Merganser spp",39,1646
"Northern Pintail",39,8377
"Northern Shoveler",39,22899
"Redhead",39,26497
"Ring-necked Duck",39,3857
"Ruddy Duck",39,26716
"Scaup spp",39,17859
"American Green-winged Teal",40,8455
"American Coot",40,70934
"American Wigeon",40,2055
"Bufflehead",40,33166
"Blue-winged Teal",40,122716
"Canada Goose",40,52273
"Canvasback",40,30841
"Gadwall",40,38171
"Goldeneye spp",40,1997
"Mallard",40,105058
"Merganser spp",40,1708
"Northern Pintail",40,7414
"Northern Shoveler",40,30452
"Redhead",40,39149
"Ring-necked Duck",40,9009
"Ruddy Duck",40,21342
"Scaup spp",40,29877
"Swan spp",40,330
"American Green-winged Teal",41,21943
"American Coot",41,28089
"American Wigeon",41,65474
"Blue-winged Teal",41,178075
"Canada Goose",41,29532
"Canvasback",41,5733
"Gadwall",41,95997
"Goldeneye spp",41,3003
"Mallard",41,158834
"Merganser spp",41,3072
"Northern Pintail",41,46089
"Northern Shoveler",41,92841
"Redhead",41,4380
"Ring-necked Duck",41,1090
"Ruddy Duck",41,2840
"Scaup spp",41,14213
"American Green-winged Teal",42,6333
"American Coot",42,18898
"American Wigeon",42,28448
"Blue-winged Teal",42,59271
"Canada Goose",42,44048
"Canvasback",42,4505
"Gadwall",42,55476
"Mallard",42,152995
"Merganser spp",42,580
"Northern Pintail",42,17837
"Northern Shoveler",42,57028
"Redhead",42,6901
"Ring-necked Duck",42,3197
"Scaup spp",42,814
"American Green-winged Teal",43,19864
"American Coot",43,3246
"American Wigeon",43,1241
"Blue-winged Teal",43,73714
"Canada Goose",43,25016
"Canvasback",43,1545
"Gadwall",43,40558
"Mallard",43,95188
"Merganser spp",43,590
"Northern Pintail",43,13899
"Northern Shoveler",43,34855
"Redhead",43,1786
"Ring-necked Duck",43,3875
"Ruddy Duck",43,13726
"Scaup spp",43,1461
"American Green-winged Teal",44,51226
"American Coot",44,7342
"American Wigeon",44,8419
"Blue-winged Teal",44,167075
"Canada Goose",44,27983
"Canvasback",44,874
"Gadwall",44,35901
"Mallard",44,94736
"Northern Pintail",44,22656
"Northern Shoveler",44,25343
"Redhead",44,3029
"Ring-necked Duck",44,2768
"Scaup spp",44,763
"American Green-winged Teal",45,61738
"American Coot",45,87165
"American Wigeon",45,52410
"Bufflehead",45,4804
"Blue-winged Teal",45,462175
"Canada Goose",45,127121
"Canvasback",45,88858
"Gadwall",45,312248
"Goldeneye spp",45,651
"Mallard",45,331690
"Merganser spp",45,4008
"Northern Pintail",45,90971
"Northern Shoveler",45,257537
"Redhead",45,142558
"Ring-necked Duck",45,12309
"Ruddy Duck",45,142611
"Scaup spp",45,73015
"Swan spp",45,258
"American Green-winged Teal",46,18818
"American Coot",46,31350
"American Wigeon",46,22468
"Bufflehead",46,986
"Blue-winged Teal",46,294623
"Canada Goose",46,65486
"Canvasback",46,13092
"Gadwall",46,121043
"Mallard",46,165200
"Merganser spp",46,1096
"Northern Pintail",46,60175
"Northern Shoveler",46,120814
"Redhead",46,55140
"Ring-necked Duck",46,3694
"Ruddy Duck",46,66782
"Scaup spp",46,21298
"Swan spp",46,53
"American Green-winged Teal",47,1216
"American Wigeon",47,2847
"Blue-winged Teal",47,15799
"Canada Goose",47,6730
"Gadwall",47,12755
"Mallard",47,10930
"Northern Shoveler",47,4762
"Redhead",47,228
"American Green-winged Teal",48,31106
"American Coot",48,12037
"American Wigeon",48,38343
"Bufflehead",48,1093
"Blue-winged Teal",48,416249
"Canada Goose",48,103652
"Canvasback",48,7162
"Gadwall",48,162730
"Mallard",48,204960
"Merganser spp",48,1216
"Northern Pintail",48,67662
"Northern Shoveler",48,111571
"Redhead",48,24629
"Ring-necked Duck",48,1681
"Ruddy Duck",48,20354
"Scaup spp",48,15210
"American Green-winged Teal",49,9096
"American Coot",49,16454
"American Wigeon",49,8623
"Blue-winged Teal",49,205451
"Canada Goose",49,56195
"Canvasback",49,2842
"Gadwall",49,40242
"Mallard",49,119891
"Merganser spp",49,483
"Northern Pintail",49,18384
"Northern Shoveler",49,71251
"Redhead",49,13262
"Ring-necked Duck",49,334
"Scaup spp",49,4044
"Swan spp",49,372
"American Black Duck",50,51168
"American Green-winged Teal",50,23963
"American Wigeon",50,9750
"Bufflehead",50,12661
"Canada Goose",50,126785
"Canvasback",50,20972
"Gadwall",50,6422
"Goldeneye spp",50,74047
"Mallard",50,548417
"Merganser spp",50,329880
"Northern Pintail",50,5619
"Ring-necked Duck",50,99801
"Scaup spp",50,50886
"Swan spp",50,47880
"American Green-winged Teal",75,71128
"American Coot",75,14926
"American Wigeon",75,16322
"Bufflehead",75,66866
"Blue-winged Teal",75,129669
"Canada Goose",75,101757
"Canvasback",75,16604
"Gadwall",75,20412
"Goldeneye spp",75,34583
"Mallard",75,178721
"Merganser spp",75,3153
"Northern Pintail",75,9390
"Northern Shoveler",75,32268
"Redhead",75,45985
"Ring-necked Duck",75,23221
"Ruddy Duck",75,20436
"Scaup spp",75,97270
"Swan spp",75,331
"American Green-winged Teal",76,90719
"American Coot",76,4809
"American Wigeon",76,28957
"Bufflehead",76,50687
"Blue-winged Teal",76,96340
"Canada Goose",76,103047
"Canvasback",76,18961
"Gadwall",76,16442
"Goldeneye spp",76,18916
"Mallard",76,179114
"Merganser spp",76,2540
"Northern Pintail",76,13658
"Northern Shoveler",76,21910
"Redhead",76,23666
"Ring-necked Duck",76,15588
"Ruddy Duck",76,27437
"Scaup spp",76,51131
"Swan spp",76,2663
"American Green-winged Teal",77,628380
"American Coot",77,3689
"American Wigeon",77,364790
"Bufflehead",77,241754
"Blue-winged Teal",77,164194
"Canada Goose",77,100522
"Canvasback",77,2705
"Gadwall",77,53970
"Goldeneye spp",77,190382
"Mallard",77,407034
"Merganser spp",77,40120
"Northern Pintail",77,52779
"Northern Shoveler",77,123917
"Redhead",77,8931
"Ring-necked Duck",77,297017
"Ruddy Duck",77,6203
"Scaup spp",77,273823
"Swan spp",77,4177
"American Black Duck",51,76672.88
"American Black Duck",52,8405.91
"American Black Duck",53,883.33
"American Black Duck",56,9164.37
"American Black Duck",62,32103.31
"American Black Duck",63,41559.77
"American Black Duck",64,40612
"American Black Duck",65,7003.63
"American Black Duck",66,48069.17
"American Black Duck",67,67010.05
"American Black Duck",68,205958.12
"American Black Duck",69,174907.95
"American Black Duck",70,32454.42
"American Black Duck",71,26679.52
"American Black Duck",72,4735.38
"American Green-winged Teal",51,15704.86
"American Green-winged Teal",52,3157.74
"American Green-winged Teal",53,190.4
"American Green-winged Teal",56,717.91
"American Green-winged Teal",62,25978.43
"American Green-winged Teal",63,33661.95
"American Green-winged Teal",64,10163.76
"American Green-winged Teal",65,4093.21
"American Green-winged Teal",66,18769.91
"American Green-winged Teal",67,61462.64
"American Green-winged Teal",68,62943.42
"American Green-winged Teal",69,63730.41
"American Green-winged Teal",70,6504.36
"American Green-winged Teal",71,6406.44
"American Green-winged Teal",72,6105.43
"Goldeneye spp",51,129250.56
"Goldeneye spp",52,237.08
"Goldeneye spp",53,911.49
"Goldeneye spp",56,365.91
"Goldeneye spp",62,5365.61
"Goldeneye spp",63,2652.59
"Goldeneye spp",64,1092.95
"Goldeneye spp",65,47.72
"Goldeneye spp",66,29612.04
"Goldeneye spp",67,56116.78
"Goldeneye spp",68,124405.93
"Goldeneye spp",69,189619.23
"Goldeneye spp",70,85942.09
"Goldeneye spp",71,44779.43
"Goldeneye spp",72,2302.84
"Mallard",51,247917.61
"Mallard",52,122202.51
"Mallard",53,3839.92
"Mallard",56,25910.31
"Mallard",62,12453.84
"Mallard",63,25652.34
"Mallard",64,15770.6
"Mallard",65,1854.51
"Mallard",66,330.18
"Mallard",67,5168.83
"Mallard",68,110615.15
"Mallard",69,11309.62
"Mallard",70,665.59
"Mallard",71,360.17
"Mallard",72,12474.71
"Merganser spp",51,316224.62
"Merganser spp",52,93529.85
"Merganser spp",53,498.22
"Merganser spp",56,2441.42
"Merganser spp",62,42800.96
"Merganser spp",63,33890.31
"Merganser spp",64,13947.51
"Merganser spp",65,1847.99
"Merganser spp",66,32514.69
"Merganser spp",67,85851.47
"Merganser spp",68,264545.74
"Merganser spp",69,95009.06
"Merganser spp",70,21152.63
"Merganser spp",71,30332
"Merganser spp",72,19469.5
"Ring-necked Duck",51,115675.47
"Ring-necked Duck",52,21242.02
"Ring-necked Duck",53,93.29
"Ring-necked Duck",56,470.29
"Ring-necked Duck",62,30830.89
"Ring-necked Duck",63,42797.7
"Ring-necked Duck",64,27494.96
"Ring-necked Duck",65,4611.78
"Ring-necked Duck",66,79528.03
"Ring-necked Duck",67,58508.5
"Ring-necked Duck",68,135887.9
"Ring-necked Duck",69,125145.82
"Ring-necked Duck",70,27369.27
"Ring-necked Duck",71,25334.3
"Ring-necked Duck",72,16965.86
